출동소방서,시점,소방공무원,구급출동건수,구조출동건수,화재출동건수,기타출동건수,구급이송건수,구급이송인원,구조인원,사망,화재발생건수,재산피해경감율,인구,총인구수,면적,면적비율,1년 전 소방공무원
마포소방서,2021,308,27372,1948,448,1997,15180,15182,521,0,242,0.885,368905,9509458,23.85,3.94,310
서대문소방서,2007,190,14471,1018,359,545,9049,9191,655,11,297,0.0,348575,10192710,17.61,2.91,190
서대문소방서,2008,185,14817,901,368,968,9116,9243,550,9,294,0.0,331688,10200827,17.6,2.91,190
서대문소방서,2009,192,15213,910,299,1275,9329,9496,616,13,248,0.0,327451,10208302,17.6,2.91,185
서대문소방서,2010,195,15319,1100,268,1907,9773,9933,992,17,205,0.0,324541,10312545,17.6,2.91,192
서대문소방서,2011,196,15575,1263,256,1938,9797,9949,749,8,209,0.949,314852,10249679,17.6,2.91,195
서대문소방서,2012,221,16049,1628,236,1801,10545,10708,916,10,173,0.927,315113,10195318,17.61,2.91,196
서대문소방서,2013,222,16671,1490,257,1857,11132,11310,573,4,221,0.922,314110,10143645,17.61,2.91,221
서대문소방서,2014,223,18391,963,229,1913,11909,12027,624,14,212,0.987,310376,10103233,17.61,2.91,222
서대문소방서,2015,229,19130,921,284,2028,11622,11757,482,5,215,0.895,312141,10022181,17.61,2.91,223
서대문소방서,2016,229,18597,895,325,2184,11279,11390,674,6,227,0.993,314194,9930616,17.61,2.91,229
서대문소방서,2017,229,19166,905,259,2286,11170,11323,675,6,232,0.961,312800,9857426,17.63,2.91,229
서대문소방서,2018,229,20973,1027,268,1981,12110,12179,638,8,229,0.956,310313,9765623,17.62,2.91,229
서대문소방서,2019,230,19374,936,294,1598,11983,12107,492,7,269,0.99,309397,9729107,17.63,2.9,229
서대문소방서,2020,239,17807,1042,253,1570,10444,10439,332,6,220,0.957,312173,9668465,17.63,2.91,230
서대문소방서,2021,243,21134,1201,373,1709,12310,12320,192,3,262,0.983,304819,9509458,17.63,2.91,239
서초소방서,2007,236,18446,1263,395,673,10242,10502,613,13,363,0.0,405969,10192710,47.0,7.76,236
서초소방서,2008,231,19201,1314,390,1182,11224,11507,900,34,319,0.0,406320,10200827,47.0,7.77,236
서초소방서,2009,244,20498,1602,345,1841,12342,12714,985,22,291,0.0,425481,10208302,47.0,7.77,231
서초소방서,2010,254,21658,1884,295,2411,12926,13251,532,4,230,0.0,434720,10312545,47.0,7.77,244
서초소방서,2011,306,21001,2370,303,3551,12370,12648,625,1,235,0.985,433564,10249679,47.0,7.77,254
서초소방서,2012,298,21547,2929,276,2445,13141,13440,553,7,230,0.987,435044,10195318,47.0,7.77,306
서초소방서,2013,298,22409,2727,250,2371,13401,13682,806,4,216,0.963,441763,10143645,47.0,7.77,298
서초소방서,2014,297,24334,1720,382,2813,15178,15470,859,5,331,0.983,449678,10103233,47.0,7.77,298
서초소방서,2015,303,24172,1553,437,2904,15247,15539,821,7,303,0.958,446764,10022181,47.0,7.77,297
서초소방서,2016,303,26230,1528,467,3033,16076,16404,825,4,286,0.962,447192,9930616,46.98,7.76,303
서초소방서,2017,303,25681,1543,320,3044,14876,15107,911,11,242,0.997,441102,9857426,46.99,7.76,303
서초소방서,2018,306,26109,1716,325,2822,15602,15806,732,4,242,0.956,433951,9765623,46.98,7.76,303
서초소방서,2019,308,24549,1605,319,2491,14753,14998,533,4,242,0.949,430826,9729107,46.98,7.8,306
서초소방서,2020,314,21023,1535,317,2397,11602,11613,430,3,240,0.964,425126,9668465,46.98,7.76,308
서초소방서,2021,316,24629,1780,367,3319,13653,13662,340,4,231,0.877,412279,9509458,46.98,7.76,314
성동소방서,2017,232,7359,856,201,1749,4657,4736,244,5,103,0.941,304808,9857426,16.86,2.79,232
성동소방서,2018,232,16722,998,219,1488,10543,10628,544,7,212,0.897,308221,9765623,16.86,2.79,232
성동소방서,2019,233,15827,980,212,1149,10029,10111,577,5,194,0.886,300889,9729107,16.86,2.8,232
성동소방서,2020,233,14476,899,199,1091,8069,8072,283,2,187,0.905,293556,9668465,16.86,2.79,233
성동소방서,2021,237,16520,1141,240,1413,9163,9177,341,4,191,0.96,285990,9509458,16.86,2.79,233
성북소방서,2007,190,14222,1201,323,632,9721,9913,407,6,304,0.0,469973,10192710,24.57,4.06,190
성북소방서,2008,185,14862,969,281,1027,10404,10580,356,5,249,0.0,473357,10200827,24.57,4.06,190
성북소방서,2009,197,15975,1041,265,1708,10924,11110,503,9,230,0.0,476028,10208302,24.57,4.06,185
성북소방서,2010,195,16041,1309,253,2201,10929,11045,666,6,221,0.0,488932,10312545,24.56,4.06,197
성북소방서,2011,197,15700,1501,212,2413,11040,11180,660,10,194,0.942,485171,10249679,24.57,4.06,195
성북소방서,2012,193,16472,1956,227,2357,11821,11925,765,3,220,0.98,481857,10195318,24.57,4.06,197
성북소방서,2013,194,16791,1626,219,2419,11526,11626,773,5,204,0.963,476589,10143645,24.58,4.06,193
성북소방서,2014,194,18673,1130,195,2615,12616,12745,548,7,175,0.974,466706,10103233,24.58,4.06,194
성북소방서,2015,237,19785,1106,218,2613,12944,13095,507,10,151,0.955,459275,10022181,24.58,4.06,194
성북소방서,2016,237,20973,1109,229,2763,13308,13461,610,7,194,0.955,450355,9930616,24.58,4.06,237
성북소방서,2017,240,21663,1101,197,2738,13245,13408,691,9,183,0.967,444055,9857426,24.57,4.06,237
성북소방서,2018,240,21665,1070,232,2299,13388,13463,386,5,215,0.97,435868,9765623,24.57,4.06,240
성북소방서,2019,241,20208,1074,225,1962,13002,13088,391,8,191,0.946,442650,9729107,24.57,4.1,240
성북소방서,2020,241,18201,1073,192,2012,10623,10633,309,6,173,0.826,437153,9668465,24.58,4.06,241
성북소방서,2021,242,19915,1230,232,2123,11598,11611,270,8,168,0.898,430528,9509458,24.58,4.06,241
송파소방서,2007,236,18192,1518,474,669,11235,11479,783,11,446,0.0,623876,10192710,33.88,5.6,236
송파소방서,2008,227,18917,1544,372,1390,11978,12158,565,10,299,0.0,668962,10200827,33.88,5.6,236
송파소방서,2009,242,21230,1698,392,1733,13854,14103,510,15,303,0.0,681476,10208302,33.88,5.6,227
송파소방서,2010,249,21917,2077,323,2516,14068,14320,600,15,235,0.0,685279,10312545,33.88,5.6,242
송파소방서,2011,252,21121,2311,395,2611,13858,14119,569,3,337,0.958,682209,10249679,33.88,5.6,249
송파소방서,2012,305,21034,2890,331,2799,14564,14800,1711,10,295,0.925,673115,10195318,33.88,5.6,252
송파소방서,2013,305,21301,2587,336,2710,14393,14572,2038,8,304,0.956,668415,10143645,33.87,5.6,305
송파소방서,2014,304,24519,1843,393,2992,16187,16394,1064,9,302,0.988,664738,10103233,33.88,5.6,305
송파소방서,2015,315,25674,1584,534,3102,16581,16825,694,12,278,0.993,660302,10022181,33.88,5.6,304
송파소방서,2016,315,26627,1570,546,3296,17200,17415,776,12,325,0.985,657831,9930616,33.88,5.6,315
송파소방서,2017,315,28166,1743,439,3347,17488,17736,922,5,318,0.936,664496,9857426,33.87,5.6,315
송파소방서,2018,318,28818,1831,458,2766,17545,17708,802,16,340,0.945,666635,9765623,33.87,5.6,315
송파소방서,2019,321,27638,1813,418,2514,17097,17296,632,8,335,0.936,675961,9729107,33.87,5.6,318
송파소방서,2020,321,26002,1698,412,2390,14810,14845,530,7,307,0.974,667960,9668465,33.87,5.6,321
송파소방서,2021,327,29512,2085,408,2826,16839,16863,483,3,263,0.944,658338,9509458,33.88,5.6,321
양천소방서,2007,195,14398,1081,264,424,9538,9756,668,6,225,0.0,503650,10192710,17.4,2.88,195
양천소방서,2008,209,16439,906,292,832,11142,11388,419,4,234,0.0,502343,10200827,17.4,2.88,195
양천소방서,2009,222,17575,1073,320,1307,11888,12133,586,5,269,0.0,501395,10208302,17.41,2.88,209
양천소방서,2010,221,17866,1037,233,1723,12293,12493,448,3,207,0.0,500001,10312545,17.4,2.88,222
양천소방서,2011,222,17229,1321,287,1858,11532,11734,579,5,230,0.969,500210,10249679,17.41,2.88,221
양천소방서,2012,253,17606,1557,287,1906,11982,12201,651,8,209,0.968,495911,10195318,17.4,2.87,222
양천소방서,2013,253,17657,1472,296,1893,12101,12266,906,11,233,0.951,492528,10143645,17.4,2.88,253
양천소방서,2014,254,19515,1132,305,2154,13456,13631,836,3,209,0.272,486221,10103233,17.4,2.88,253
양천소방서,2015,260,21192,1005,323,2071,14253,14452,741,7,218,0.982,484532,10022181,17.4,2.88,254
양천소방서,2016,260,22078,1130,281,2293,14891,15081,870,9,229,0.99,477739,9930616,17.41,2.88,260
양천소방서,2017,263,22597,1065,254,2300,14656,14836,905,5,244,0.979,471154,9857426,17.41,2.88,260
양천소방서,2018,266,23130,1250,238,1955,14951,15102,565,3,219,0.986,464185,9765623,17.41,2.88,263
양천소방서,2019,268,22413,1113,185,1698,14567,14699,440,5,163,0.89,458165,9729107,17.41,2.9,266
양천소방서,2020,268,20749,1016,173,1661,12689,12695,239,2,153,0.971,454251,9668465,17.41,2.88,268
양천소방서,2021,278,24542,1257,273,1742,14650,14659,246,4,151,0.841,447302,9509458,17.41,2.88,268
영등포소방서,2007,250,17283,1406,341,480,10753,11026,1132,62,322,0.0,408178,10192710,24.57,4.06,250
영등포소방서,2008,241,18207,1345,338,1113,11367,11677,837,71,310,0.0,408099,10200827,24.57,4.06,250
영등포소방서,2009,251,19151,1463,294,1325,11990,12246,830,72,255,0.0,405798,10208302,24.57,4.06,241
영등포소방서,2010,250,19637,1724,255,1679,12331,12631,1092,73,222,0.0,406833,10312545,24.57,4.06,251
영등포소방서,2011,307,19451,2075,284,1753,12099,12330,1852,81,214,0.987,397443,10249679,24.57,4.06,250
